DATE,MANMM101CNM657S
2005-08-01,0.856997930839397
2005-09-01,1.14647641125035
2005-10-01,1.10636610170798
2005-11-01,1.37837623626354
2005-12-01,1.10864019758726
2006-01-01,0.316071522155279
2006-02-01,0.663444882245526
2006-03-01,1.42805510566123
2006-04-01,1.2781803136179
2006-05-01,1.4460733144556
2006-06-01,1.56455860391558
2006-07-01,1.4207022032151
2006-08-01,1.39562626582504
2006-09-01,1.45133742309906
2006-10-01,1.65473371970118
2006-11-01,1.76187608958794
2006-12-01,1.63055615147946
2007-01-01,1.62391591612208
2007-02-01,2.03357536938152
2007-03-01,1.47465736122767
2007-04-01,0.813747732316759
2007-05-01,1.12673340439531
2007-06-01,1.9901941233154
2007-07-01,2.02572511090222
2007-08-01,2.10392024555862
2007-09-01,2.17539830575675
2007-10-01,1.59513922627158
